features,pm25
"[20.0,38.0,58.0,27.0,60.0,-16.0,-7.0,-22.0,43.67]",42.0
"[20.0,39.0,27.0,30.0,41.0,4.0,-10.0,-2.0,25.67]",31.0
"[20.0,39.0,68.0,26.0,36.0,21.0,-6.0,3.0,74.67]",89.0
"[20.0,39.0,163.0,27.0,73.0,-10.0,-7.0,-34.0,159.67]",153.0
"[20.0,40.0,72.0,35.0,42.0,-9.0,-15.0,-2.0,70.67]",63.0
"[20.0,40.0,89.0,34.0,43.0,13.0,-14.0,-3.0,97.67]",102.0
"[20.0,40.0,251.0,32.0,62.0,3.0,-12.0,-22.0,252.67]",254.0
"[20.0,41.0,84.0,20.0,65.0,-11.0,0.0,-24.0,77.0]",73.0
"[20.0,41.0,100.25404591644713,30.0,58.0,0.0,-10.0,-17.0,100.25]",100.25404591644713
"[20.0,41.0,118.0,24.0,74.0,47.0,-4.0,-33.0,125.0]",165.0
"[20.0,41.0,134.0,22.0,80.0,62.0,-2.0,-39.0,141.33]",196.0
"[20.0,41.0,135.0,34.0,57.0,-45.0,-14.0,-16.0,172.0]",90.0
"[20.0,41.0,232.0,26.0,68.0,3.0,-6.0,-27.0,233.33]",235.0
"[20.0,42.0,205.0,31.0,68.0,-5.0,-11.0,-26.0,206.0]",200.0
"[20.0,44.0,44.0,24.0,64.0,-4.0,-4.0,-20.0,45.33]",40.0
"[20.0,44.0,97.0,27.0,48.0,13.0,-7.0,-4.0,109.33]",110.0
"[20.0,44.0,121.0,28.0,38.0,7.0,-8.0,6.0,121.0]",128.0
"[20.0,45.0,22.0,22.0,78.0,14.0,-2.0,-33.0,25.67]",36.0
"[20.0,45.0,56.0,29.0,70.0,3.0,-9.0,-25.0,53.0]",59.0
"[20.0,45.0,273.0,30.0,73.0,17.0,-10.0,-28.0,282.0]",290.0
"[20.0,45.0,295.0,35.0,31.0,67.0,-15.0,14.0,340.33]",362.0
"[20.0,46.0,90.0,28.0,79.0,-3.0,-8.0,-33.0,89.0]",87.0
"[20.0,46.0,100.25404591644713,35.0,61.0,-5.254045916447126,-15.0,-15.0,96.42]",95.0
"[20.0,46.0,164.0,22.0,49.0,-30.0,-2.0,-3.0,174.67]",134.0
"[20.0,48.0,23.0,27.0,48.0,9.0,-7.0,0.0,27.67]",32.0
"[20.0,48.0,48.0,24.0,67.0,4.0,-4.0,-19.0,56.33]",52.0
"[20.0,48.0,99.0,29.0,37.0,3.0,-9.0,11.0,100.0]",102.0
"[20.0,48.0,133.0,28.0,51.0,-1.0,-8.0,-3.0,137.67]",132.0
"[20.0,49.0,65.0,27.0,62.0,-2.0,-7.0,-13.0,71.67]",63.0
"[20.0,49.0,109.0,32.0,50.0,-84.0,-12.0,-1.0,57.67]",25.0
"[20.0,49.0,138.0,24.0,78.0,15.0,-4.0,-29.0,145.67]",153.0
"[20.0,49.0,178.0,28.0,59.0,24.0,-8.0,-10.0,184.67]",202.0
"[20.0,50.0,49.0,32.0,64.0,28.0,-12.0,-14.0,54.0]",77.0
"[20.0,50.0,96.0,35.0,32.0,-10.0,-15.0,18.0,97.0]",86.0
"[20.0,51.0,34.0,30.0,66.0,3.0,-10.0,-15.0,41.33]",37.0
"[20.0,51.0,60.0,31.0,73.0,-11.0,-11.0,-22.0,58.67]",49.0
"[20.0,51.0,179.0,31.0,65.0,-93.0,-11.0,-14.0,152.33]",86.0
"[20.0,52.0,78.0,33.0,70.0,-1.0,-13.0,-18.0,74.67]",77.0
"[20.0,52.0,161.0,21.0,64.0,-17.0,-1.0,-12.0,158.33]",144.0
"[20.0,53.0,61.0,31.0,36.0,-5.0,-11.0,17.0,58.0]",56.0
"[20.0,53.0,170.0,25.0,66.0,-16.0,-5.0,-13.0,163.0]",154.0
"[20.0,54.0,193.0,35.0,40.0,-5.0,-15.0,14.0,183.67]",188.0
"[20.0,55.0,16.0,33.0,76.0,-7.0,-13.0,-21.0,15.33]",9.0
"[20.0,55.0,36.0,34.0,72.0,-8.0,-14.0,-17.0,36.33]",28.0
"[20.0,55.0,96.0,24.0,55.0,-2.0,-4.0,0.0,98.33]",94.0
"[20.0,55.0,96.0,26.0,32.0,-18.0,-6.0,23.0,93.67]",78.0
"[20.0,55.0,113.0,28.0,58.0,-13.0,-8.0,-3.0,109.67]",100.0
"[20.0,56.0,63.0,21.0,47.0,-4.0,-1.0,9.0,61.33]",59.0
"[20.0,56.0,163.0,27.0,40.0,2.0,-7.0,16.0,175.0]",165.0
"[20.0,56.0,173.0,23.0,78.0,3.0,-3.0,-22.0,174.0]",176.0
"[20.0,57.0,42.0,33.0,58.0,8.0,-13.0,-1.0,43.0]",50.0
"[20.0,57.0,44.0,28.0,44.0,-9.0,-8.0,13.0,52.0]",35.0
"[20.0,57.0,51.0,21.0,32.0,5.0,-1.0,25.0,55.0]",56.0
"[20.0,57.0,93.0,32.0,69.0,-2.0,-12.0,-12.0,97.67]",91.0
"[20.0,57.0,100.25404591644713,34.0,33.0,35.745954083552874,-14.0,24.0,130.08]",136.0
"[20.0,57.0,109.0,23.0,48.0,11.0,-3.0,9.0,110.0]",120.0
"[20.0,58.0,54.0,21.0,33.0,-11.0,-1.0,25.0,50.67]",43.0
"[20.0,58.0,55.0,20.0,78.0,56.0,0.0,-20.0,71.67]",111.0
"[20.0,58.0,98.0,29.0,32.0,-44.0,-9.0,26.0,96.67]",54.0
"[20.0,58.0,123.0,23.0,78.0,-17.0,-3.0,-20.0,131.0]",106.0
"[20.0,59.0,28.0,21.0,54.0,5.0,-1.0,5.0,31.67]",33.0
"[20.0,59.0,70.0,23.0,67.0,-4.0,-3.0,-8.0,72.33]",66.0
"[20.0,59.0,99.0,27.0,48.0,-14.0,-7.0,11.0,87.33]",85.0
"[20.0,59.0,166.0,24.0,64.0,-34.0,-4.0,-5.0,143.0]",132.0
"[20.0,59.0,178.0,20.0,63.0,-14.0,0.0,-4.0,179.33]",164.0
"[20.0,61.0,76.0,29.0,61.0,-5.0,-9.0,0.0,76.0]",71.0
"[20.0,61.0,104.0,31.0,71.0,7.0,-11.0,-10.0,96.33]",111.0
"[20.0,61.0,211.0,31.0,63.0,2.0,-11.0,-2.0,206.67]",213.0
"[20.0,61.0,305.0,22.0,69.0,69.0,-2.0,-8.0,331.0]",374.0
"[20.0,62.0,45.0,20.0,35.0,-4.0,0.0,27.0,44.67]",41.0
"[20.0,62.0,102.0,33.0,41.0,9.0,-13.0,21.0,91.33]",111.0
"[20.0,62.0,210.0,26.0,44.0,48.0,-6.0,18.0,216.0]",258.0
"[20.0,63.0,46.0,29.0,78.0,1.0,-9.0,-15.0,50.67]",47.0
"[20.0,64.0,39.0,32.0,65.0,3.0,-12.0,-1.0,42.67]",42.0
"[20.0,64.0,88.0,26.0,44.0,34.0,-6.0,20.0,95.33]",122.0
"[20.0,64.0,100.25404591644713,23.0,69.0,0.0,-3.0,-5.0,100.25]",100.25404591644713
"[20.0,64.0,100.25404591644713,30.0,37.0,0.0,-10.0,27.0,100.25]",100.25404591644713
"[20.0,64.0,121.0,31.0,52.0,1.0,-11.0,12.0,121.67]",122.0
"[20.0,65.0,20.0,25.0,59.0,-4.0,-5.0,6.0,24.0]",16.0
"[20.0,65.0,31.0,33.0,75.0,20.0,-13.0,-10.0,40.0]",51.0
"[20.0,65.0,74.0,33.0,57.0,10.0,-13.0,8.0,74.67]",84.0
"[20.0,65.0,94.0,31.0,48.0,18.0,-11.0,17.0,106.0]",112.0
"[20.0,65.0,97.0,23.0,47.0,8.0,-3.0,18.0,96.67]",105.0
"[20.0,65.0,180.0,21.0,46.0,-7.0,-1.0,19.0,171.33]",173.0
"[20.0,66.0,50.0,22.0,79.0,8.0,-2.0,-13.0,59.33]",58.0
"[20.0,66.0,91.0,22.0,67.0,1.0,-2.0,-1.0,90.33]",92.0
"[20.0,67.0,34.0,35.0,40.0,6.0,-15.0,27.0,35.0]",40.0
"[20.0,67.0,44.0,32.0,37.0,3.0,-12.0,30.0,38.67]",47.0
"[20.0,67.0,53.0,24.0,79.0,-31.0,-4.0,-12.0,50.0]",22.0
"[20.0,67.0,79.0,24.0,55.0,-15.0,-4.0,12.0,73.67]",64.0
"[20.0,67.0,280.0,24.0,60.0,19.0,-4.0,7.0,272.67]",299.0
"[20.0,68.0,82.0,35.0,31.0,17.0,-15.0,37.0,85.0]",99.0
"[20.0,68.0,109.0,21.0,51.0,35.0,-1.0,17.0,118.67]",144.0
"[20.0,68.0,139.0,20.0,72.0,-19.0,0.0,-4.0,129.67]",120.0
"[20.0,69.0,31.0,20.0,39.0,8.0,0.0,30.0,32.33]",39.0
"[20.0,69.0,33.0,23.0,68.0,-4.0,-3.0,1.0,39.33]",29.0
"[20.0,69.0,65.0,26.0,61.0,44.0,-6.0,8.0,76.33]",109.0
"[20.0,69.0,81.0,34.0,77.0,-14.0,-14.0,-8.0,79.33]",67.0
"[20.0,69.0,84.0,33.0,80.0,-4.0,-13.0,-11.0,80.33]",80.0
"[20.0,69.0,104.0,35.0,63.0,3.0,-15.0,6.0,110.33]",107.0
"[20.0,69.0,106.0,22.0,53.0,5.0,-2.0,16.0,101.67]",111.0
"[20.0,70.0,45.0,23.0,30.0,11.0,-3.0,40.0,47.0]",56.0
"[20.0,70.0,70.0,21.0,55.0,6.0,-1.0,15.0,70.67]",76.0
"[20.0,70.0,87.0,28.0,52.0,-47.0,-8.0,18.0,83.0]",40.0
"[20.0,70.0,222.0,21.0,67.0,-15.0,-1.0,3.0,216.33]",207.0
"[20.0,71.0,18.0,30.0,60.0,1.0,-10.0,11.0,18.67]",19.0
"[20.0,71.0,83.0,28.0,65.0,18.0,-8.0,6.0,85.33]",101.0
"[20.0,71.0,108.0,26.0,44.0,11.0,-6.0,27.0,113.0]",119.0
"[20.0,71.0,134.0,21.0,47.0,-5.0,-1.0,24.0,131.33]",129.0
"[20.0,72.0,68.0,28.0,30.0,1.0,-8.0,42.0,69.33]",69.0
"[20.0,72.0,76.0,20.0,70.0,6.0,0.0,2.0,76.0]",82.0
"[20.0,73.0,38.0,31.0,39.0,6.0,-11.0,34.0,41.0]",44.0
"[20.0,73.0,60.0,26.0,31.0,7.0,-6.0,42.0,60.0]",67.0
"[20.0,73.0,69.0,21.0,49.0,-6.0,-1.0,24.0,68.67]",63.0
"[20.0,73.0,115.0,21.0,68.0,-36.0,-1.0,5.0,97.0]",79.0
"[20.0,73.0,121.0,23.0,33.0,-13.0,-3.0,40.0,122.33]",108.0
"[20.0,73.0,134.0,31.0,39.0,30.0,-11.0,34.0,136.67]",164.0
"[20.0,74.0,215.0,28.0,38.0,-30.0,-8.0,36.0,202.33]",185.0
"[20.0,75.0,52.0,21.0,50.0,6.0,-1.0,25.0,57.0]",58.0
"[20.0,75.0,179.0,34.0,37.0,11.0,-14.0,38.0,192.67]",190.0
"[20.0,75.0,341.0,35.0,51.0,-3.0,-15.0,24.0,350.0]",338.0
"[20.0,76.0,27.0,25.0,64.0,0.0,-5.0,12.0,26.67]",27.0
"[20.0,76.0,40.0,31.0,31.0,12.0,-11.0,45.0,46.33]",52.0
"[20.0,76.0,62.0,26.0,58.0,-25.0,-6.0,18.0,53.0]",37.0
"[20.0,76.0,64.0,34.0,39.0,10.0,-14.0,37.0,62.0]",74.0
"[20.0,76.0,91.0,21.0,57.0,-3.0,-1.0,19.0,92.0]",88.0
"[20.0,76.0,100.25404591644713,33.0,45.0,0.0,-13.0,31.0,100.25]",100.25404591644713
"[20.0,76.0,125.0,24.0,43.0,-5.0,-4.0,33.0,129.33]",120.0
"[20.0,76.0,126.0,28.0,60.0,12.0,-8.0,16.0,127.33]",138.0
"[20.0,76.0,178.0,31.0,52.0,-1.0,-11.0,24.0,167.33]",177.0
"[20.0,78.0,33.0,33.0,61.0,8.0,-13.0,17.0,35.67]",41.0
"[20.0,78.0,49.0,31.0,54.0,6.0,-11.0,24.0,48.67]",55.0
"[20.0,78.0,62.0,20.0,52.0,-14.0,0.0,26.0,55.0]",48.0
"[20.0,78.0,78.0,24.0,42.0,9.0,-4.0,36.0,82.33]",87.0
"[20.0,78.0,119.0,25.0,66.0,-5.0,-5.0,12.0,110.67]",114.0
"[20.0,78.0,201.0,22.0,37.0,25.0,-2.0,41.0,200.33]",226.0
"[20.0,79.0,33.0,21.0,51.0,1.0,-1.0,28.0,33.33]",34.0
"[20.0,79.0,57.0,31.0,46.0,-30.0,-11.0,33.0,56.0]",27.0
"[20.0,79.0,111.0,25.0,63.0,1.0,-5.0,16.0,115.67]",112.0
"[20.0,79.0,186.0,34.0,66.0,-33.0,-14.0,13.0,169.0]",153.0
"[20.0,79.0,306.0,25.0,77.0,-14.0,-5.0,2.0,310.0]",292.0
"[20.0,80.0,48.0,34.0,47.0,-3.0,-14.0,33.0,49.0]",45.0
"[21.0,30.0,26.0,32.0,61.0,-1.0,-11.0,-31.0,24.67]",25.0
"[21.0,30.0,120.0,29.0,77.0,5.0,-8.0,-47.0,123.33]",125.0
"[21.0,30.0,138.0,31.0,43.0,-52.0,-10.0,-13.0,124.33]",86.0
"[21.0,30.0,149.0,29.0,76.0,46.0,-8.0,-46.0,178.67]",195.0
"[21.0,31.0,85.0,24.0,62.0,35.0,-3.0,-31.0,84.67]",120.0
"[21.0,32.0,27.0,32.0,79.0,-4.0,-11.0,-47.0,34.0]",23.0
"[21.0,32.0,58.0,22.0,55.0,-7.0,-1.0,-23.0,58.33]",51.0
"[21.0,33.0,17.0,22.0,45.0,1.0,-1.0,-12.0,17.33]",18.0
"[21.0,33.0,55.0,22.0,72.0,-1.0,-1.0,-39.0,56.67]",54.0
"[21.0,33.0,56.0,26.0,54.0,6.0,-5.0,-21.0,58.33]",62.0
"[21.0,33.0,87.0,30.0,61.0,-50.0,-9.0,-28.0,90.33]",37.0
"[21.0,33.0,154.0,22.0,36.0,-60.0,-1.0,-3.0,123.0]",94.0
"[21.0,34.0,103.0,27.0,52.0,-1.0,-6.0,-18.0,103.33]",102.0
"[21.0,35.0,124.0,29.0,43.0,-6.0,-8.0,-8.0,124.67]",118.0
"[21.0,35.0,199.0,21.0,61.0,4.0,0.0,-26.0,203.67]",203.0
"[21.0,37.0,60.0,21.0,45.0,0.0,0.0,-8.0,58.0]",60.0
"[21.0,37.0,192.0,24.0,79.0,30.0,-3.0,-42.0,172.33]",222.0
"[21.0,38.0,28.0,21.0,54.0,5.0,0.0,-16.0,28.0]",33.0
"[21.0,38.0,30.0,35.0,39.0,2.0,-14.0,-1.0,34.0]",32.0
"[21.0,38.0,61.0,29.0,79.0,15.0,-8.0,-41.0,61.33]",76.0
"[21.0,39.0,90.0,34.0,72.0,4.0,-13.0,-33.0,89.67]",94.0
"[21.0,39.0,100.25404591644713,30.0,67.0,0.0,-9.0,-28.0,100.25]",100.25404591644713
"[21.0,40.0,146.0,35.0,67.0,-11.0,-14.0,-27.0,129.0]",135.0
"[21.0,41.0,47.0,35.0,67.0,16.0,-14.0,-26.0,48.67]",63.0
"[21.0,42.0,65.0,31.0,37.0,54.0,-10.0,5.0,78.67]",119.0
"[21.0,42.0,73.0,34.0,60.0,-1.0,-13.0,-18.0,68.67]",72.0
"[21.0,42.0,100.25404591644713,23.0,62.0,-19.254045916447126,-2.0,-20.0,77.42]",81.0
"[21.0,42.0,122.0,20.0,64.0,9.0,1.0,-22.0,124.67]",131.0
"[21.0,42.0,214.0,29.0,74.0,-77.0,-8.0,-32.0,172.33]",137.0
"[21.0,43.0,124.0,34.0,60.0,12.0,-13.0,-17.0,120.0]",136.0
"[21.0,43.0,166.0,35.0,79.0,-20.0,-14.0,-36.0,108.33]",146.0
"[21.0,44.0,27.0,32.0,79.0,1.0,-11.0,-35.0,35.33]",28.0
"[21.0,44.0,38.0,24.0,76.0,-2.0,-3.0,-32.0,32.67]",36.0
"[21.0,44.0,108.0,20.0,73.0,-10.0,1.0,-29.0,109.0]",98.0
"[21.0,44.0,127.0,31.0,41.0,15.0,-10.0,3.0,132.67]",142.0
"[21.0,44.0,142.0,35.0,35.0,31.0,-14.0,9.0,144.67]",173.0
"[21.0,44.0,262.0,33.0,67.0,2.0,-12.0,-23.0,262.67]",264.0
"[21.0,45.0,21.0,33.0,40.0,16.0,-12.0,5.0,28.0]",37.0
"[21.0,45.0,41.0,24.0,72.0,17.0,-3.0,-27.0,46.67]",58.0
"[21.0,45.0,56.0,22.0,61.0,5.0,-1.0,-16.0,54.33]",61.0
"[21.0,45.0,65.0,26.0,52.0,-22.0,-5.0,-7.0,74.67]",43.0
"[21.0,45.0,182.0,21.0,38.0,-16.0,0.0,7.0,171.0]",166.0
"[21.0,45.0,292.0,20.0,79.0,-1.0,1.0,-34.0,296.33]",291.0
"[21.0,46.0,47.0,30.0,68.0,2.0,-9.0,-22.0,47.33]",49.0
"[21.0,46.0,58.0,33.0,43.0,10.0,-12.0,3.0,61.67]",68.0
"[21.0,46.0,98.0,25.0,30.0,-29.0,-4.0,16.0,86.33]",69.0
"[21.0,46.0,127.0,21.0,52.0,-1.0,0.0,-6.0,129.33]",126.0
"[21.0,46.0,161.0,24.0,39.0,19.0,-3.0,7.0,174.67]",180.0
"[21.0,46.0,204.0,34.0,59.0,-1.0,-13.0,-13.0,203.0]",203.0
"[21.0,47.0,28.0,25.0,49.0,-1.0,-4.0,-2.0,28.0]",27.0
"[21.0,47.0,29.0,22.0,61.0,-16.0,-1.0,-14.0,16.67]",13.0
"[21.0,47.0,32.0,31.0,71.0,9.0,-10.0,-24.0,39.33]",41.0
"[21.0,47.0,80.0,24.0,63.0,1.0,-3.0,-16.0,86.67]",81.0
"[21.0,47.0,131.0,30.0,62.0,3.0,-9.0,-15.0,139.33]",134.0
"[21.0,48.0,43.0,26.0,60.0,3.0,-5.0,-12.0,48.67]",46.0
"[21.0,48.0,72.0,27.0,76.0,-1.0,-6.0,-28.0,73.33]",71.0
"[21.0,48.0,79.0,34.0,38.0,-9.0,-13.0,10.0,68.33]",70.0
"[21.0,49.0,39.0,35.0,50.0,8.0,-14.0,-1.0,46.0]",47.0
"[21.0,49.0,63.0,20.0,40.0,13.0,1.0,9.0,70.33]",76.0
"[21.0,49.0,74.0,30.0,45.0,-5.0,-9.0,4.0,74.0]",69.0
"[21.0,49.0,222.0,22.0,50.0,3.0,-1.0,-1.0,247.33]",225.0
"[21.0,50.0,205.0,28.0,74.0,14.0,-7.0,-24.0,199.0]",219.0
"[21.0,50.0,213.0,22.0,63.0,8.0,-1.0,-13.0,178.08]",221.0
"[21.0,51.0,33.0,27.0,66.0,0.0,-6.0,-15.0,36.0]",33.0
"[21.0,51.0,57.0,23.0,62.0,-1.0,-2.0,-11.0,60.0]",56.0
"[21.0,51.0,96.0,25.0,64.0,3.0,-4.0,-13.0,97.33]",99.0
"[21.0,51.0,103.0,23.0,61.0,6.0,-2.0,-10.0,90.0]",109.0
"[21.0,52.0,26.0,28.0,47.0,15.0,-7.0,5.0,30.33]",41.0
"[21.0,52.0,68.0,22.0,73.0,-2.0,-1.0,-21.0,74.0]",66.0
"[21.0,52.0,112.0,30.0,55.0,-8.0,-9.0,-3.0,110.67]",104.0
"[21.0,52.0,135.0,20.0,35.0,-8.0,1.0,17.0,132.0]",127.0
"[21.0,52.0,162.0,26.0,38.0,-31.0,-5.0,14.0,143.0]",131.0
"[21.0,53.0,105.0,20.0,63.0,10.0,1.0,-10.0,99.33]",115.0
"[21.0,53.0,113.0,30.0,75.0,2.0,-9.0,-22.0,111.67]",115.0
"[21.0,54.0,23.0,28.0,55.0,5.0,-7.0,-1.0,25.33]",28.0
"[21.0,54.0,34.0,23.0,41.0,-6.0,-2.0,13.0,28.33]",28.0
"[21.0,54.0,37.0,25.0,32.0,1.0,-4.0,22.0,37.33]",38.0
"[21.0,54.0,108.0,27.0,49.0,16.0,-6.0,5.0,97.67]",124.0
"[21.0,54.0,135.0,35.0,47.0,-28.0,-14.0,7.0,143.33]",107.0
"[21.0,54.0,156.0,29.0,52.0,4.0,-8.0,2.0,162.0]",160.0
"[21.0,55.0,66.0,33.0,63.0,4.0,-12.0,-8.0,66.33]",70.0
"[21.0,55.0,69.0,29.0,66.0,-4.0,-8.0,-11.0,67.0]",65.0
"[21.0,55.0,96.0,34.0,68.0,-4.0,-13.0,-13.0,112.0]",92.0
"[21.0,55.0,117.0,30.0,62.0,-19.0,-9.0,-7.0,117.0]",98.0
"[21.0,55.0,137.0,34.0,42.0,-33.0,-13.0,13.0,133.33]",104.0
"[21.0,56.0,56.0,23.0,47.0,3.0,-2.0,9.0,55.67]",59.0
"[21.0,57.0,97.0,21.0,76.0,-6.0,0.0,-19.0,103.67]",91.0
"[21.0,58.0,33.0,29.0,66.0,11.0,-8.0,-8.0,37.0]",44.0
"[21.0,58.0,99.0,30.0,48.0,-1.0,-9.0,10.0,99.33]",98.0
"[21.0,58.0,121.0,31.0,52.0,2.0,-10.0,6.0,114.33]",123.0
"[21.0,60.0,25.0,31.0,59.0,-1.0,-10.0,1.0,23.33]",24.0
"[21.0,60.0,47.0,32.0,40.0,12.0,-11.0,20.0,47.0]",59.0
"[21.0,60.0,150.0,22.0,51.0,-1.0,-1.0,9.0,148.33]",149.0
"[21.0,60.0,199.0,25.0,73.0,-19.0,-4.0,-13.0,194.0]",180.0
"[21.0,61.0,59.0,22.0,36.0,2.0,-1.0,25.0,58.33]",61.0
"[21.0,61.0,209.0,29.0,48.0,-10.0,-8.0,13.0,205.0]",199.0
"[21.0,62.0,38.0,30.0,58.0,-11.0,-9.0,4.0,33.0]",27.0
"[21.0,62.0,170.0,24.0,32.0,17.0,-3.0,30.0,189.33]",187.0
"[21.0,63.0,93.0,31.0,33.0,11.0,-10.0,30.0,101.0]",104.0
"[21.0,63.0,118.0,34.0,68.0,0.0,-13.0,-5.0,121.33]",118.0
"[21.0,63.0,334.0,35.0,55.0,82.0,-14.0,8.0,325.0]",416.0
"[21.0,64.0,19.0,20.0,71.0,4.0,1.0,-7.0,20.0]",23.0
"[21.0,64.0,48.0,24.0,56.0,37.0,-3.0,8.0,68.33]",85.0
"[21.0,64.0,76.0,35.0,80.0,0.0,-14.0,-16.0,71.67]",76.0
"[21.0,64.0,170.0,30.0,44.0,-9.0,-9.0,20.0,157.0]",161.0
"[21.0,65.0,59.0,31.0,68.0,-8.0,-10.0,-3.0,51.33]",51.0
"[21.0,66.0,52.0,22.0,69.0,-24.0,-1.0,-3.0,55.67]",28.0
"[21.0,66.0,100.25404591644713,34.0,63.0,0.0,-13.0,3.0,100.25]",100.25404591644713
"[21.0,67.0,66.0,23.0,75.0,-21.0,-2.0,-8.0,64.33]",45.0
"[21.0,67.0,220.0,35.0,44.0,2.0,-14.0,23.0,230.0]",222.0
"[21.0,68.0,39.0,24.0,58.0,-8.0,-3.0,10.0,37.0]",31.0
"[21.0,68.0,97.0,22.0,56.0,18.0,-1.0,12.0,98.67]",115.0
"[21.0,69.0,28.0,25.0,48.0,3.0,-4.0,21.0,34.0]",31.0
"[21.0,69.0,186.0,22.0,39.0,45.0,-1.0,30.0,192.67]",231.0
"[21.0,70.0,13.0,34.0,66.0,4.0,-13.0,4.0,16.0]",17.0
"[21.0,70.0,56.0,26.0,35.0,12.0,-5.0,35.0,58.33]",68.0
"[21.0,70.0,190.0,29.0,41.0,-25.0,-8.0,29.0,169.0]",165.0
"[21.0,71.0,61.0,30.0,38.0,-2.0,-9.0,33.0,69.33]",59.0
"[21.0,71.0,112.0,35.0,33.0,9.0,-14.0,38.0,120.33]",121.0
"[21.0,72.0,35.0,31.0,54.0,4.0,-10.0,18.0,36.33]",39.0
"[21.0,73.0,200.0,34.0,43.0,-14.0,-13.0,30.0,202.0]",186.0
"[21.0,74.0,69.0,35.0,31.0,4.0,-14.0,43.0,69.0]",73.0
"[21.0,74.0,97.0,29.0,68.0,16.0,-8.0,6.0,88.33]",113.0
"[21.0,75.0,56.0,20.0,53.0,-20.0,1.0,22.0,51.0]",36.0
"[21.0,75.0,89.0,27.0,68.0,37.0,-6.0,7.0,94.0]",126.0
"[21.0,75.0,99.0,25.0,66.0,-3.0,-4.0,9.0,102.0]",96.0
"[21.0,75.0,117.0,32.0,58.0,30.0,-11.0,17.0,123.67]",147.0
"[21.0,76.0,122.0,27.0,31.0,-2.0,-6.0,45.0,122.33]",120.0
"[21.0,76.0,123.0,25.0,75.0,-26.0,-4.0,1.0,124.33]",97.0
"[21.0,77.0,43.0,30.0,49.0,-2.0,-9.0,28.0,39.0]",41.0
"[21.0,77.0,47.0,29.0,76.0,-4.0,-8.0,1.0,48.33]",43.0
"[21.0,77.0,90.0,27.0,36.0,-2.0,-6.0,41.0,88.67]",88.0
"[21.0,77.0,90.0,35.0,42.0,-23.0,-14.0,35.0,96.33]",67.0
"[21.0,77.0,173.0,20.0,65.0,254.0,1.0,12.0,260.0]",427.0
"[21.0,79.0,54.0,26.0,79.0,-13.0,-5.0,0.0,45.0]",41.0
"[21.0,79.0,64.0,24.0,42.0,14.0,-3.0,37.0,65.67]",78.0
"[21.0,79.0,67.0,32.0,78.0,-4.0,-11.0,1.0,69.0]",63.0
"[21.0,79.0,99.0,30.0,39.0,9.0,-9.0,40.0,95.67]",108.0
"[21.0,80.0,37.0,26.0,51.0,6.0,-5.0,29.0,44.33]",43.0
"[21.0,80.0,47.0,35.0,78.0,12.0,-14.0,2.0,48.33]",59.0
"[21.0,80.0,60.0,25.0,47.0,0.0,-4.0,33.0,58.33]",60.0
"[21.0,80.0,90.0,27.0,55.0,3.0,-6.0,25.0,86.33]",93.0
"[21.0,80.0,116.0,26.0,79.0,3.0,-5.0,1.0,120.33]",119.0
"[22.0,30.0,57.0,33.0,69.0,-9.0,-11.0,-39.0,57.33]",48.0
